Month,sin_month,cos_month,web_traffic,weather_score,discount_pct,discount_flag,promotion,Net items sold
2018-01-01,0.0,1.0,104.96714153011233,1,5,1,0,103
2018-02-01,0.4999999999999999,0.8660254037844386,123.61735698828815,0,0,0,0,139
2018-03-01,0.8660254037844385,0.5000000000000001,149.77815557022885,0,0,0,1,191
2018-04-01,1.0,6.123233995736766e-17,165.23029856408024,0,10,1,1,222
2018-05-01,0.8660254037844387,-0.4999999999999997,140.95973644198858,0,10,1,1,192
2018-06-01,0.4999999999999999,-0.8660254037844386,122.6586304305082,0,0,0,0,136
2018-07-01,1.2246467991473532e-16,-1.0,115.79212815507391,0,10,1,0,138
2018-08-01,-0.4999999999999997,-0.8660254037844387,82.6743472915291,0,0,0,1,125
2018-09-01,-0.8660254037844383,-0.5000000000000003,52.00398595142857,0,10,1,0,122
2018-10-01,-1.0,-1.8369701987210297e-16,55.42560043585965,0,0,0,1,115
2018-11-01,-0.8660254037844385,0.5,52.06455288265345,1,10,1,1,102
2018-12-01,-0.5000000000000003,0.8660254037844383,70.34270246429742,0,5,1,1,148
2019-01-01,0.0,1.0,102.41962271566034,0,30,1,0,202
2019-02-01,0.4999999999999999,0.8660254037844386,105.86719755342202,1,0,0,0,126
2019-03-01,0.8660254037844385,0.5000000000000001,126.0520918640916,0,5,1,1,176
2019-04-01,1.0,6.123233995736766e-17,144.37712470759027,0,0,0,0,154
2019-05-01,0.8660254037844387,-0.4999999999999997,133.17295898587773,0,30,1,0,225
2019-06-01,0.4999999999999999,-0.8660254037844386,128.14247332595275,0,20,1,0,174
2019-07-01,1.2246467991473532e-16,-1.0,90.91975924478788,1,0,0,1,133
2019-08-01,-0.4999999999999997,-0.8660254037844387,60.8769629866471,1,10,1,0,105
2019-09-01,-0.8660254037844383,-0.5000000000000003,71.35521749999363,0,20,1,0,119
2019-10-01,-1.0,-1.8369701987210297e-16,47.74223699513465,1,10,1,0,79
2019-11-01,-0.8660254037844385,0.5,57.374011857657315,1,10,1,0,53
2019-12-01,-0.5000000000000003,0.8660254037844383,60.75251813786542,0,0,0,1,117
2020-01-01,0.0,1.0,94.55617275474818,1,0,0,0,96
2020-02-01,0.4999999999999999,0.8660254037844386,126.10922589709867,0,20,1,0,168
